Datetime,Text,Username,location
2021-02-11 23:48:45+00:00,Sekda Aceh Berbagi Kiat Sukses Vaksinasi Covid-19 Nakes - Click to see also ☛  https://t.co/KMFqbyrCMh,Farder11,
2021-02-11 23:47:54+00:00,"Moeldoko: Vaksinasi Covid-19 untuk Umum Sekitar April, Prioritas Daerah Padat Penduduk
Klik untuk baca: https://t.co/njlKOyJ3uO",zulitaufik,Jakarta
2021-02-11 23:39:33+00:00,Vaksinasi untuk masyarakat umum ini akan memprioritaskan daerah yang dinilai rentan penularan Covid-19 dan kawasan padat penduduk. https://t.co/mcBEKj6cu8,kompascom,Jakarta
2021-02-11 23:30:02+00:00,"Moeldoko: Vaksinasi Covid-19 untuk Umum Sekitar April, Prioritas Daerah Padat Penduduk https://t.co/TYd2uhUFjO",aldotjahjadi8,ihsgjournal@gmail.com
2021-02-11 23:23:31+00:00,"Moeldoko: Vaksinasi Covid-19 untuk Umum Sekitar April, Prioritas Daerah Padat Penduduk
Klik untuk baca: https://t.co/ewTvMT5oMy",cosmofemalefm,"Kota Manado, Sulawesi Utara"
2021-02-11 23:02:20+00:00,"#BuletinBernama: Vaksinasi COVID-19 bermula Mac ini
https://t.co/muZws6UV92",BernamaTV,Kuala Lumpur
2021-02-11 23:02:15+00:00,Vaksinasi bagi para lansia untuk memperkuat imunitas melawan Covid-19 https://t.co/3MuoveHeTB,hasimramadan02,
2021-02-11 23:00:25+00:00,"Dengarkan bicara vaksin COVID-19 &amp; kepentingan imunisasi bersama YBrs. Dr. Izandis Mohd Sayed, Pengarah Hospital Orang Asli Gombak Feb 12, 11:30AM di radio @asyikfmrtm

Muat turun app MySejahtera untuk info pendaftaran vaksinasi: https://t.co/drzFiAdz5D #LindungDiriLindungSemua https://t.co/LCF5zg135q",JKJAVMY,Malaysia
2021-02-11 22:41:38+00:00,"Sebagai Saran buat Bapak Menteri Desa PDTT , dimohon untuk memberikan vaksinasi kepada TPP karena mobilitas TPP dilpangan sangat tinggi sehingga rawan terpapar covid-19.
@jokowi 
@halimiskandarnu 
@kemendespdtt 
@fachrilabalado 
@jajankoswara 
@tppkemendes",IsidorusArwan3,
2021-02-11 22:20:39+00:00,"Kapolsek Baturetno AKP DIYATNO, SH beserta Danramil 05 Baturetno Kapten CBA Oyon Subiyanto, S.Pd melaksanakan monitoring pelaksanaan vaksinasi Covid 19 tahap 2 di Puskesmas Baturetno 2. Jumat (12/02/2021) https://t.co/1Q4MyJg4K5",kota_sate,"Baturetno, Wonogiri, Indonesia"
2021-02-11 21:53:03+00:00,CDC: Orang yang Sudah Mendapat Vaksinasi Covid-19 Tidak Perlu Dikarantina https://t.co/2wcAUXs77y,progjo,Hp 0822 7332 4777 
2021-02-11 21:50:32+00:00,CDC: Orang yang Sudah Mendapat Vaksinasi Covid-19 Tidak Perlu Dikarantina https://t.co/tC1MExkPPz https://t.co/Y2Qd8YUcvS,KompasTV,Indonesia
2021-02-11 21:23:02+00:00,"Berikut ini update data Vaksinasi Covid-19 di Jawa Timur sampai dengan 11 Februari 2021. 
Tetap patuhi protokol kesehatan ya.. 
#vaksinhalal #vaksincovid19 #vaksinaman https://t.co/jmrt3ib9Nq",JatimPemprov,"Jawa Timur, Indonesia"
2021-02-11 21:12:22+00:00,#mostpop Salah satu faktor batal mendapatkan vaksinasi Covid-19 adalah karena terdeteksi penyakit hipertensi. Tim Satgas Penanganan Covid-19 pun mengingatkan untuk melakukan kontrol hipertensi secara berkala sebelum vaksinasi. https://t.co/qRqM8L9F8q,detikHealth,Jakarta - Indonesia
2021-02-11 20:59:14+00:00,"jumlah sasaran vaksinasi Covid-19 terhadap tenaga kebugaran segera menggapai angka 1 juta orang 
#1JutaVaksinasiAman https://t.co/FWJEe0VuW3",Danyindra7,
2021-02-11 19:26:38+00:00,"mengajak semua masyarakat untuk berperang melawan Covid-19 bersama menunjang vaksinasi 
#1JutaVaksinasiAman https://t.co/7bOFXUZfrY",AwaliahEni,
2021-02-11 19:08:38+00:00,"Ayo sukseskan program vaksinasi covid-19 untuk Indonesia pulih, baik kesehatan maupun perekonomian masyarakat dan negara. Semangat bersama-sama dan bergotong royong melawan pandemi. @jokowi https://t.co/0twTub5tr1",JokowiKarya,
2021-02-11 19:07:45+00:00,"Bocoran Moeldoko, Jadwal Vaksinasi Covid-19 Masyarakat Umum Sudah Tentukan, Kini Giliran Nakes

https://t.co/kGiHy4N2Ek",tribuntimur,Makassar
2021-02-11 18:50:19+00:00,"Semangat nakes vaksinasi covid 19 PUSKESMAS GEUMPANG PIDIE

#Youtube Humas Aceh
https://t.co/aGe0iW91z6
#AcehHebat #SemangatNakes #nakes #vaksinasi #vaksin #covid19 #PuskesmasGeumpangPidie",humasaceh,Banda Aceh
2021-02-11 18:38:07+00:00,"Semangat nakes vaksinasi covid 19,
Puskesmas Kembang Tanjong

#Youtube Humas Aceh
https://t.co/9cboPzP6pv
#AcehHebat #SemangatNakes #nakes #vaksinasi #vaksincovid19 #vaksin #PuskesmasKembangTanjong",humasaceh,Banda Aceh
2021-02-11 18:37:52+00:00,"TNI, Polri Kerahkan 80.000 Personel, Bantu Vaksinasi dan Lacak Penderita COVID-19 #COVID19_Indonesia @DivHumas_Polri  @Puspen_TNI  https://t.co/VwGb9cpTav",BenarNewsID,"Washington, DC"
2021-02-11 18:32:02+00:00,Wakil Bupati Natuna Hadiri Vaksinasi Covid-19 Dosis Ke-2 https://t.co/uCX5ENg0r6,ami_elkamil,tanjungpinang
